comm_cost,complexity
1.993224273293956e-12,2.1662812714893565e-12
4.817386554996927e-06,5.164297866277275e-06
0.00019873315927204288,0.00021149358907491527
0.0035115276930463403,0.0036820570721082077
0.17119874008020433,0.1792062808603978
1.4000348047510698,1.5202276658100107
1.7852533921171942,2.0442233660743856
2.051922186177406,2.4759688893905496
2.2204218512199625,2.787835639191797
2.3224433003527247,3.001089077183988
2.3769984497454018,3.128912656635633
2.4050928404970464,3.2016571263889446
2.4217576887758425,3.2488522961168074
2.430931970277521,3.2771685305777085
2.4359708093757266,3.2940104644752775
2.438802313745089,3.3041942840897964
2.440445071243534,3.310516541372478
2.441419962157542,3.314512565119578
2.442010724597409,3.3170812734992
2.4423734712394265,3.3187487504702156
2.442598268383671,3.3198379585708926
2.4427378094951964,3.320548659119951
2.442826062541866,3.321020020259639
2.442881376723263,3.321329222692266
2.442916225478268,3.3215326840764936
2.4429382723641595,3.3216668791699364
2.4429522396550385,3.3217553647603015
2.4429611141187366,3.3218137898843283
2.442966764711559,3.3218523936694133
2.4429703699382337,3.321877919045674
