complexity,accuracy,distortion,mse,gNID,eps,beta,run
1.4430885199155288,1.4427959553382728,5.244610951874343,1639.1775690939558,0.5114617328772955,-0.06498296558856964,0.7157238125801086,0
1.443062479679714,1.4427699292717833,5.244636977940832,1639.2360775101083,0.5114729269411677,-0.06498298794031143,0.7157238125801086,1
1.443067236767016,1.4427746850365022,5.244632222176113,1639.2230913251074,0.5114708202916771,-0.06498298794031143,0.7157238125801086,2
1.4430797244863118,1.442787165228383,5.244619741984232,1639.1963961799363,0.5114653505966205,-0.06498297303915024,0.7157238125801086,3
1.4430697176686138,1.4427771654127053,5.24462974179991,1639.21577199852,0.5114701294307611,-0.06498298794031143,0.7157238125801086,4
1.4430864787020532,1.442793918789775,5.2446129884228405,1639.1753482549143,0.5114624998771523,-0.06498297303915024,0.7157238125801086,5
1.4430738151505196,1.4427812612772897,5.244625645935326,1639.205397654464,0.511468040504172,-0.06498298794031143,0.7157238125801086,6
1.4430581521975512,1.4427656083641782,5.244641298848437,1639.2373608607577,0.5114755048127921,-0.06498299539089203,0.7157238125801086,7
1.4430937639146286,1.4428012008796287,5.244605706332987,1639.1571945595028,0.5114599248659144,-0.06498296558856964,0.7157238125801086,8
1.4430703246812353,1.4427777777420765,5.244629129470539,1639.2027873391614,0.5114708040415226,-0.06498299539089203,0.7157238125801086,9
